delta,epsilon,avg,max_surprise
0.85,0.5,1.72605,20124.5
0.66,0.76,2.36618,4443.94
0.6,0.48,1.21079,229.174
0.98,0.08,1.03913,27552.3
0.54,0.16,1.01215,7.83355
0.91,0.74,1.76766,49145.7
0.72,0.96,36.0837,1.17134e+06
0.66,0.74,2.33331,16246
0.79,0.22,1.05624,1078.27
0.6,0.46,1.17455,138.051
0.85,0.48,1.60912,10894
0.98,0.06,1.04276,24251.4
0.54,0.14,1.00906,6.44852
0.91,0.72,0.901516,7205
0.72,0.94,28.6768,338612
0.66,0.72,2.13702,2927.44
0.79,0.2,1.06316,920.738
0.6,0.44,1.17066,594.208
0.85,0.46,1.09627,3035.99
0.54,0.12,1.00669,6.22076
0.98,0.04,0.792446,5893.46
0.91,0.7,0.782794,5085.77
0.72,0.92,45.5287,1.88715e+06
0.79,0.18,1.00849,346.395
0.85,0.44,1.1231,2648.12
0.54,0.1,1.00953,5.35585
0.98,0.02,0.616596,2095.18
0.6,0.42,1.12543,192.062
0.66,0.7,1.81887,2026.41
0.91,0.68,1.94377,49418.8
0.72,0.9,6.77202,82953.1
0.79,0.16,1.01817,354.128
0.54,0.08,1.00509,5.00563
0.85,0.42,1.34211,12966.5
0.6,0.4,1.13332,242.628
0.98,0,0.604436,2019.35
0.66,0.68,1.93372,15968.4
0.91,0.66,0.754743,4276.6
0.72,0.88,10.8915,456597
0.54,0.06,1.00138,4.47949
0.85,0.4,1.06626,2008.82
0.79,0.14,1.05813,533.394
0.66,0.66,1.89721,6377.94
0.6,0.38,1.10321,217.931
0.91,0.64,1.13183,4518.58
0.97,0.98,988.88,6.46517e+07
0.72,0.86,4.47182,82505.7
0.54,0.04,0.999724,3.46392
0.85,0.38,1.05539,1809.57
0.66,0.64,1.70402,2302.28
0.79,0.12,1.02889,970.775
0.91,0.62,1.30909,17824.3
0.6,0.36,1.09835,106.716
0.97,0.96,0.234865,11996
0.72,0.84,7.63017,199633
0.54,0.02,0.999123,2.77788
0.85,0.36,1.17394,2320.22
0.66,0.62,1.65859,3431.32
0.91,0.6,1.3267,20081
0.79,0.1,1.01049,307.403
0.6,0.34,1.07878,162.254
0.72,0.82,4.59146,115553
0.97,0.94,0.037385,302.73
0.54,0,0.999225,2.12016
0.85,0.34,1.16058,7372.15
0.66,0.6,1.41795,2636.81
0.79,0.08,1.01961,749.462
0.91,0.58,1.13292,14849.8
0.6,0.32,1.08839,107.814
0.72,0.8,3.59349,29197.7
0.85,0.32,1.21607,3286.02
0.53,0.98,1137.44,4.2033e+07
0.97,0.92,0.317116,5872.96
0.79,0.06,0.97592,650.276
0.6,0.3,1.06486,51.5151
0.91,0.56,1.65515,15825.1
0.66,0.58,1.44058,2600.62
0.72,0.78,4.0281,51768.2
0.53,0.96,42.5167,262364
0.97,0.9,0.230244,5526.8
0.85,0.3,1.03661,1397.88
0.79,0.04,0.969876,286.63
0.6,0.28,1.0617,56.514
0.66,0.56,1.54683,6707.37
0.91,0.54,1.55666,14278
0.72,0.76,1.733,2533.99
0.53,0.94,52.8891,1.18366e+06
0.79,0.02,0.995835,361.19
0.85,0.28,1.15837,3833.67
0.6,0.26,1.04866,92.2936
0.97,0.88,0.434077,6319.82
0.91,0.52,1.16847,13995.3
0.66,0.54,1.33436,1310.46
0.85,0.26,0.982262,1179.09
0.6,0.24,1.03789,73.4925
0.79,0,0.990293,277.752
0.97,0.86,0.195832,4380.47
0.53,0.92,13.834,75238.2
0.72,0.74,2.08606,4961.4
0.91,0.5,0.970402,10970
0.66,0.52,1.30027,1226.06
0.85,0.24,0.99626,1128.37
0.6,0.22,1.03573,45.4799
0.53,0.9,8.99541,74058.3
0.97,0.84,1.58383,88094.4
0.78,0.98,3262.29,2.00137e+08
0.91,0.48,1.31869,9461.17
0.72,0.72,2.09177,9247.54
0.66,0.5,1.25077,571.221
0.6,0.2,1.03384,28.4461
0.85,0.22,1.03317,926.482
0.78,0.96,107.227,4.97069e+06
0.53,0.88,5.90026,13965.1
0.97,0.82,0.307016,4872.86
0.91,0.46,1.16132,8197.63
0.66,0.48,1.22839,494.467
0.85,0.2,1.09466,2271.51
0.6,0.18,1.02293,20.3012
0.72,0.7,1.93822,18201.8
0.53,0.86,6.33808,36336.9
0.78,0.94,5.38013,61052
0.91,0.44,0.955351,1780.55
0.97,0.8,0.221589,3595.25
0.66,0.46,1.25108,1283.01
0.85,0.18,0.991281,775.137
0.6,0.16,1.01746,23.5396
0.72,0.68,1.79554,6659.27
0.53,0.84,4.20324,19950.3
0.91,0.42,1.03832,5200.25
0.78,0.92,5.8144,36185.6
0.97,0.78,0.353439,2779.49
0.66,0.44,1.19128,841.289
0.6,0.14,1.01337,16.3908
0.72,0.66,1.85783,9856.94
0.85,0.16,1.03979,1738.28
0.53,0.82,3.61019,11922.1
0.78,0.9,7.74573,306483
0.85,0.14,0.984647,558.019
0.97,0.76,0.247628,3170.77
0.72,0.64,1.50497,4039
0.6,0.12,1.01054,14.4787
0.66,0.42,1.17195,415.931
0.53,0.8,2.63971,7567.98
0.91,0.4,1.09153,17555.7
0.85,0.12,1.00587,551.106
0.72,0.62,1.50173,3419.65
0.78,0.88,7.75756,186281
0.6,0.1,1.00338,11.7127
0.66,0.4,1.13792,248.573
0.53,0.78,2.32604,5931.71
0.97,0.74,1.16073,54113.7
0.91,0.38,1.12297,5810.11
0.85,0.1,1.00684,465.964
0.72,0.6,1.74825,10132.6
0.78,0.86,3.39106,35438.6
0.6,0.08,1.00332,17.5962
0.66,0.38,1.1337,497.035
0.53,0.76,2.41112,3984.57
0.97,0.72,0.46852,3851.47
0.91,0.36,1.1799,6209.34
0.85,0.08,0.968393,423.982
0.6,0.06,1.00206,10.1892
0.72,0.58,1.84333,10192
0.78,0.84,4.92792,96554
0.53,0.74,2.04331,11355.1
0.97,0.7,1.25384,51487.7
0.85,0.06,0.985564,859.221
0.6,0.04,0.996834,9.71698
0.91,0.34,2.38218,83281.1
0.66,0.36,1.11511,271.061
0.72,0.56,1.32121,1652
0.78,0.82,3.56637,50305.3
0.97,0.68,0.696238,17939.6
0.53,0.72,1.90961,1779.32
0.85,0.04,0.964189,350.272
0.6,0.02,0.998994,6.90114
0.66,0.34,1.11391,220.643
0.91,0.32,1.00962,4096.12
0.72,0.54,1.41995,6353.15
0.78,0.8,1.9036,5231.94
0.6,0,0.996456,6.26314
0.53,0.7,1.63407,802.769
0.85,0.02,1.01184,758.735
0.66,0.32,1.08296,204.377
0.97,0.66,0.280604,2525.51
0.72,0.52,1.38811,5306.77
0.91,0.3,1.25956,13683.8
0.78,0.78,2.56694,12013.7
0.85,0,0.965986,226.631
0.66,0.3,1.08426,123.27
0.59,0.98,431.208,6.15592e+06
0.53,0.68,1.66832,1041.81
0.97,0.64,0.341515,2596.02
0.72,0.5,1.33171,3931.2
0.91,0.28,1.24077,16165.1
0.66,0.28,1.06749,123.11
0.78,0.76,2.14341,24077.3
0.84,0.98,130.517,3.56255e+06
0.59,0.96,41.1535,301527
0.53,0.66,1.53767,793.799
0.72,0.48,1.35269,1843.72
0.97,0.62,0.431459,2241.69
0.91,0.26,1.09119,11459.5
0.66,0.26,1.05951,115.064
0.84,0.96,6.66137,131456
0.59,0.94,80.9808,1.55298e+06
0.78,0.74,2.03398,9097.42
0.53,0.64,1.46691,645.83
0.72,0.46,1.18259,741.919
0.97,0.6,1.03693,30556.4
0.91,0.24,1.08976,2715.39
0.66,0.24,1.05606,133.818
0.78,0.72,1.73062,4136.19
0.72,0.44,1.21829,1017.49
0.97,0.58,1.32699,29057.8
0.84,0.94,41.3249,2.08701e+06
0.59,0.92,13.5578,143898
0.66,0.22,1.04582,72.4465
0.53,0.62,1.42803,514.362
0.91,0.22,1.10549,3154.29
0.72,0.42,1.2103,1238.75
0.78,0.7,1.64186,6018.94
0.59,0.9,10.5131,235361
0.84,0.92,3.7349,44662.7
0.97,0.56,1.09121,28140.3
0.66,0.2,1.02865,59.9434
0.53,0.6,1.40457,640.106
0.91,0.2,1.19755,7879.27
0.78,0.68,1.67517,9122.58
0.72,0.4,1.18442,637.319
0.66,0.18,1.03139,64.9314
0.84,0.9,5.99486,96870.3
0.97,0.54,0.336833,1780.21
0.59,0.88,5.88443,37803.2
0.53,0.58,1.3211,278.502
0.91,0.18,1.1217,6342.25
0.78,0.66,1.59749,7594.59
0.72,0.38,1.15426,599.676
0.66,0.16,1.02205,48.9846
0.84,0.88,5.70111,253959
0.97,0.52,0.528469,2532.18
0.59,0.86,5.25914,16132.7
0.91,0.16,1.07751,6782.03
0.53,0.56,1.27914,487.091
0.72,0.36,1.12033,597.838
0.66,0.14,1.01873,79.2699
0.78,0.64,1.36677,5500.15
0.84,0.86,2.50138,70302.4
0.97,0.5,1.09494,19597.8
0.91,0.14,0.971425,1861.89
0.59,0.84,3.89864,9968.66
0.53,0.54,1.28554,203.454
0.78,0.62,3.58663,141730
0.66,0.12,1.01106,70.7043
0.72,0.34,1.11464,1213.76
0.84,0.84,3.92416,107540
0.97,0.48,0.495318,8519.05
0.59,0.82,3.89204,19431.4
0.91,0.12,1.07762,6320.14
0.53,0.52,1.22596,148.209
0.78,0.6,1.27688,1577.25
0.72,0.32,1.11138,298.71
0.66,0.1,1.00666,35.7541
0.84,0.82,3.20595,84512.9
0.97,0.46,0.805064,16166.4
0.59,0.8,3.03987,5933.47
0.53,0.5,1.20026,183.661
0.72,0.3,1.11539,538.09
0.91,0.1,0.900103,1219.84
0.78,0.58,1.49152,8642.92
0.97,0.44,1.03185,16524.5
0.84,0.8,1.93209,23282.6
0.66,0.08,1.00577,42.4904
0.53,0.48,1.1666,101.342
0.59,0.78,3.02864,19572.1
0.72,0.28,1.0819,216.212
0.91,0.08,1.25181,17892.9
0.53,0.46,1.14736,179.612
0.78,0.56,1.45908,3135
0.59,0.76,2.27519,2695.5
0.66,0.06,0.999773,34.7537
0.97,0.42,0.496827,6781.01
0.84,0.78,1.087,9932.52
0.72,0.26,1.05763,242.842
0.78,0.54,1.31293,1564.63
0.91,0.06,0.979893,1343.04
0.66,0.04,0.992219,23.3025
0.53,0.44,1.12966,67.5231
0.97,0.4,2.22099,105657
0.59,0.74,2.2283,10579.4
0.72,0.24,1.02607,226.814
0.84,0.76,2.06482,16844.2
0.78,0.52,1.24691,1423.48
0.66,0.02,0.991023,17.9763
0.97,0.38,0.804489,5966.55
0.53,0.42,1.11615,61.4738
0.59,0.72,2.04051,6258.33
0.91,0.04,0.925516,1352.22
0.72,0.22,1.05149,158.064
0.84,0.74,1.73995,25388
0.66,0,0.995365,14.9219
0.78,0.5,1.27264,3153.2
0.97,0.36,0.700073,8410.46
0.59,0.7,1.86325,1210.07
0.53,0.4,1.10219,85.5418
0.72,0.2,1.05955,1295.29
0.91,0.02,1.05948,2919.12
0.84,0.72,2.34598,42017.9
0.78,0.48,1.24633,1973.7
0.97,0.34,0.524365,1280.04
0.65,0.98,258.087,6.6911e+06
0.59,0.68,1.66914,3338.98
0.53,0.38,1.09508,66.8663
0.72,0.18,1.02657,242.469
0.91,0,0.96811,1028.74
0.84,0.7,8.46411,334929
0.97,0.32,1.10175,23689
0.78,0.46,1.33027,2293.76
0.65,0.96,903.591,2.71334e+07
0.59,0.66,1.58073,760.322
0.72,0.16,1.05585,158.797
0.53,0.36,1.08006,36.9031
0.9,0.98,99.1197,5.7646e+06
0.84,0.68,1.61288,9841.02
0.97,0.3,1.01471,9958.5
0.65,0.94,20.9087,252834
0.78,0.44,1.2208,3293.72
0.72,0.14,1.02127,111.837
0.53,0.34,1.06404,28.4198
0.59,0.64,1.50368,1080.96
0.9,0.96,113.944,7.19605e+06
0.97,0.28,1.35428,55213.6
0.84,0.66,1.02379,2177.13
0.53,0.32,1.05955,39.4716
0.72,0.12,1.00686,70.5901
0.78,0.42,1.13889,1633.37
0.65,0.92,25.3604,541014
0.59,0.62,1.47769,991.323
0.97,0.26,0.673158,3943.81
0.9,0.94,2.20945,67592.1
0.53,0.3,1.04068,22.7229
0.78,0.4,1.12135,1290.88
0.65,0.9,11.8005,152909
0.72,0.1,1.01288,79.874
0.84,0.64,2.07877,26402.3
0.59,0.6,1.42427,632.316
0.97,0.24,0.504127,849.341
0.53,0.28,1.03852,22.3017
0.65,0.88,7.60873,33812.5
0.72,0.08,1.00752,97.2395
0.84,0.62,1.25415,10177.2
0.78,0.38,1.22396,6044.3
0.9,0.92,7.17512,343605
0.59,0.58,1.33117,349.306
0.53,0.26,1.03415,19.81
0.97,0.22,1.16831,40344.1
0.65,0.86,5.22887,21305.1
0.84,0.6,1.56586,6960.91
0.78,0.36,1.19045,2178.6
0.72,0.06,0.986654,56.5673
0.59,0.56,1.31623,833.386
0.9,0.9,2.74678,28461.4
0.97,0.2,0.836813,3176.2
0.53,0.24,1.02512,15.375
0.65,0.84,4.90771,36172.3
0.84,0.58,1.19815,3940.13
0.78,0.34,1.0817,646.105
0.72,0.04,0.993787,67.497
0.9,0.88,4.20168,163884
0.97,0.18,0.941797,5419.88
0.59,0.54,1.28027,221.563
0.53,0.22,1.01855,15.8968
0.65,0.82,4.68527,59109.5
0.84,0.56,1.20194,3969.64
0.78,0.32,1.08827,1435.39
0.72,0.02,0.998612,41.6171
0.97,0.16,0.781036,8139.67
0.9,0.86,3.56062,116379
0.53,0.2,1.01979,16.5695
0.59,0.52,1.24503,453.493
0.78,0.3,1.062,788.683
0.84,0.54,1.26902,4753.58
0.72,0,0.990734,38.2979
0.65,0.8,2.13826,2549.37
0.97,0.14,1.40431,29463.7
0.9,0.84,0.627687,6836.1
0.53,0.18,1.01614,9.01225
0.84,0.52,1.25034,3874.77
0.59,0.5,1.21176,445.786
0.97,0.12,1.44075,25506.5
0.71,0.98,1324.01,3.13099e+07
0.65,0.78,2.6252,11412.9
0.9,0.82,2.06171,54781
0.78,0.28,1.10008,1213.05
0.53,0.16,1.00975,6.7585
0.84,0.5,1.59878,16287.4
0.59,0.48,1.19162,206.52
0.71,0.96,45.2296,772313
0.65,0.76,2.77825,22686.9
0.97,0.1,0.664423,2181.5
0.78,0.26,1.08951,758.821
0.9,0.8,7.68829,346375
0.53,0.14,1.00949,5.461
0.84,0.48,1.01227,4112.08
0.65,0.74,2.40653,15222.9
0.59,0.46,1.16308,281.314
0.71,0.94,68.4183,3.46439e+06
0.97,0.08,0.788217,2823.25
0.78,0.24,1.10078,1074.13
0.53,0.12,1.00618,5.31332
0.65,0.72,1.94261,4916.22
0.71,0.92,19.1389,353072
0.9,0.78,1.09171,7460.03
0.59,0.44,1.15424,328.455
0.84,0.46,1.10658,2082.34
0.97,0.06,0.799613,9632.23
0.53,0.1,1.00278,4.63163
0.65,0.7,1.88155,3883.91
0.59,0.42,1.14482,129.298
0.9,0.76,1.55296,23899.2
0.78,0.22,1.04193,364.811
0.84,0.44,1.34388,7451.5
0.71,0.9,52.7913,2.77643e+06
0.97,0.04,0.892782,6732.31
0.53,0.08,1.00106,3.13979
0.65,0.68,1.89702,6125.76
0.9,0.74,0.8939,5853.8
0.84,0.42,1.32115,6261.1
0.59,0.4,1.12949,142.744
0.71,0.88,19.2768,499700
0.78,0.2,1.06204,476.445
0.97,0.02,0.627714,1750.95
0.9,0.72,1.12772,25037.6
0.84,0.4,1.1509,3389.55
0.53,0.06,1.00178,3.51717
0.59,0.38,1.10531,138.363
0.65,0.66,1.99859,4955.02
0.97,0,1.1498,15427.2
0.84,0.38,1.09382,1740.83
0.9,0.7,4.21899,179389
0.71,0.86,5.24729,86128.4
0.78,0.18,1.04068,391.547
0.53,0.04,1.00009,2.69648
0.59,0.36,1.09335,75.0061
0.65,0.64,1.702,6916.55
0.96,0.98,6.8276,202173
0.84,0.36,1.47478,15139.1
0.9,0.68,0.842756,3961.48
0.78,0.16,1.04733,242.104
0.71,0.84,6.4673,157264
0.53,0.02,1.00046,2.50918
0.59,0.34,1.07736,85.3202
0.65,0.62,1.57911,2603.21
0.96,0.96,3.56387,116915
0.84,0.34,1.16188,4509.74
0.78,0.14,1.0456,385.895
0.71,0.82,3.30033,35545.2
0.53,0,1.00019,1.84121
0.9,0.66,0.721468,3043.55
0.59,0.32,1.07433,60.2369
0.65,0.6,1.44532,1088.5
0.96,0.94,0.322378,3327.95
0.71,0.8,3.16368,25158.4
0.9,0.64,1.28701,16680.4
0.59,0.3,1.06267,42.6507
0.52,0.98,813.872,3.409e+07
0.78,0.12,1.01939,639.983
0.84,0.32,1.11184,3460.21
0.65,0.58,1.40325,1007.29
0.9,0.62,1.28339,12021.1
0.71,0.78,2.44833,14162.5
0.59,0.28,1.07421,50.9648
0.78,0.1,1.01186,286.608
0.96,0.92,0.36119,4301.85
0.52,0.96,93.9682,1.64243e+06
0.65,0.56,1.29951,803.291
0.84,0.3,1.51178,23585.8
0.9,0.6,1.13147,8816.19
0.71,0.76,2.80525,13266.1
0.59,0.26,1.04917,71.9282
0.78,0.08,0.994412,140.287
0.52,0.94,32.3483,469817
0.96,0.9,0.936698,51723.4
0.65,0.54,1.33974,1297.08
0.84,0.28,1.09377,1390.17
0.9,0.58,0.919051,8738.36
0.59,0.24,1.03582,33.1829
0.71,0.74,2.69344,24089.7
0.78,0.06,1.00304,181.062
0.52,0.92,12.8871,29717.6
0.65,0.52,1.24938,583.112
0.96,0.88,0.773211,33853.4
0.84,0.26,1.0441,2137.95
0.9,0.56,0.84811,2063.77
0.71,0.72,1.65167,3066.9
0.78,0.04,1.00502,220.893
0.65,0.5,1.30476,1322.75
0.59,0.22,1.02557,30.651
0.52,0.9,8.02922,13296.4
0.96,0.86,0.653754,26478.8
0.71,0.7,3.17939,80202.3
0.9,0.54,1.01974,7178.6
0.84,0.24,1.07306,1830.69
0.65,0.48,1.19928,684.747
0.78,0.02,0.994243,169.773
0.59,0.2,1.02133,30.9582
0.52,0.88,6.6259,53172.1
0.96,0.84,8.08796,516019
0.9,0.52,1.07887,5189.87
0.71,0.68,3.63439,63029.3
0.65,0.46,1.20266,514.72
0.59,0.18,1.02459,20.6501
0.84,0.22,1.00635,1992.59
0.78,0,0.974442,328.711
0.52,0.86,4.69221,6037.47
0.96,0.82,0.612219,19879.4
0.9,0.5,0.805158,1544.72
0.71,0.66,1.58927,1628.68
0.65,0.44,1.17148,402.003
0.84,0.2,1.1054,1409.48
0.59,0.16,1.01747,20.5412
0.77,0.98,51.4489,1.90525e+06
0.52,0.84,3.92716,20456.7
0.96,0.8,0.946966,24442.7
0.9,0.48,1.3391,7053.47
0.71,0.64,1.7199,6158.67
0.65,0.42,1.1583,351.323
0.84,0.18,1.12751,1202.24
0.9,0.46,1.68118,23125
0.77,0.96,27.5606,873641
0.59,0.14,1.01298,14.0881
0.52,0.82,3.63564,9960.9
0.65,0.4,1.18163,335.274
0.71,0.62,1.58746,5199.4
0.96,0.78,0.257437,1873.73
0.84,0.16,1.01123,1300.05
0.9,0.44,1.31502,19805.3
0.77,0.94,12.1144,201402
0.52,0.8,2.80281,6608.05
0.59,0.12,1.00804,11.618
0.65,0.38,1.15171,334.87
0.71,0.6,1.58304,3478.3
0.96,0.76,1.10117,18681.1
0.84,0.14,1.02697,1056.83
0.9,0.42,1.05243,4215.53
0.65,0.36,1.12667,298.804
0.59,0.1,1.00466,9.60123
0.77,0.92,6.45534,117730
0.71,0.58,1.64035,6287.93
0.52,0.78,2.59655,21591.1
0.84,0.12,1.01751,884.895
0.96,0.74,0.713049,15122.6
0.9,0.4,1.21196,17097.5
0.71,0.56,1.39505,1543.61
0.59,0.08,1.00114,11.0722
0.84,0.1,0.959866,294.06
0.52,0.76,2.13785,1821.4
0.65,0.34,1.12852,293.602
0.96,0.72,1.13649,20042.6
0.77,0.9,4.94538,59482.1
0.9,0.38,22.225,1.37595e+06
0.59,0.06,1.00087,11.0041
0.71,0.54,1.33848,2045.58
0.84,0.08,1.01347,759.016
0.65,0.32,1.08968,320.809
0.52,0.74,1.9923,2367.83
0.9,0.36,1.42437,10633.2
0.96,0.7,0.807906,18094
0.77,0.88,5.37607,141722
0.59,0.04,0.996692,7.3698
0.71,0.52,1.54588,12655.5
0.65,0.3,1.07131,125.432
0.84,0.06,0.963347,741.174
0.52,0.72,1.8879,1003.53
0.96,0.68,0.412459,8696.09
0.9,0.34,0.993544,2677.28
0.77,0.86,3.5868,30922.2
0.59,0.02,0.996505,5.57941
0.71,0.5,1.24733,643.137
0.65,0.28,1.06947,171.299
0.84,0.04,0.983757,256.903
0.52,0.7,1.68426,731.858
0.9,0.32,1.1755,7382.41
0.96,0.66,0.341027,1256.17
0.59,0,0.995874,5.12134
0.71,0.48,1.22533,838.752
0.65,0.26,1.05401,69.0266
0.84,0.02,0.992623,373.869
0.77,0.84,3.98663,62663.3
0.9,0.3,1.17641,8966.12
0.52,0.68,1.5954,389.069
0.96,0.64,0.818863,14821.4
0.58,0.98,5953.55,2.61886e+08
0.71,0.46,1.24084,1950.65
0.65,0.24,1.04261,118.125
0.84,0,0.989832,1109.8
0.9,0.28,1.08939,8020.65
0.52,0.66,1.53538,633.832
0.77,0.82,2.9015,44208.3
0.96,0.62,1.81364,69893.8
0.71,0.44,1.12706,796.519
0.65,0.22,1.0352,80.1858
0.58,0.96,621.837,1.57165e+07
0.83,0.98,240.216,1.08459e+07
0.9,0.26,1.00663,1820.83
0.52,0.64,1.47944,468.761
0.77,0.8,4.89268,100981
0.96,0.6,0.476251,5787.27
0.71,0.42,1.1648,1401.08
0.65,0.2,1.02747,72.2082
0.58,0.94,19.8009,74834.2
0.83,0.96,10.4025,561827
0.52,0.62,1.3977,429.267
0.9,0.24,0.932395,1985.9
0.77,0.78,3.84657,78299.7
0.96,0.58,0.677241,7576.78
0.65,0.18,1.02036,51.9447
0.71,0.4,1.20716,1671.83
0.58,0.92,20.6569,427829
0.83,0.94,7.39081,249428
0.9,0.22,1.15681,5582.4
0.52,0.6,1.37823,644.909
0.96,0.56,1.93747,91960
0.65,0.16,1.01656,41.0019
0.77,0.76,1.69941,6143.76
0.58,0.9,11.8711,159127
0.71,0.38,1.1404,837.869
0.9,0.2,0.916236,1403.43
0.83,0.92,7.18805,122930
0.52,0.58,1.32185,640.514
0.96,0.54,0.622501,7494.6
0.65,0.14,1.01812,36.6133
0.58,0.88,6.95371,19088.2
0.9,0.18,1.02615,1343.66
0.83,0.9,4.76357,94411
0.77,0.74,2.4025,15371.7
0.71,0.36,1.17994,1536.27
0.52,0.56,1.26424,210.481
0.96,0.52,0.722347,8333.53
0.65,0.12,1.00889,42.8484
0.58,0.86,6.3781,45864.5
0.9,0.16,1.01751,3089.52
0.83,0.88,1.78935,13147.4
0.71,0.34,1.12944,747.298
0.52,0.54,1.24748,405.345
0.96,0.5,0.937585,7894.92
0.77,0.72,2.10383,13338.6
0.58,0.84,6.77745,192804
0.9,0.14,0.993836,3541.86
0.65,0.1,1.01081,28.5067
0.83,0.86,3.60563,43246.5
0.52,0.52,1.22849,315.539
0.96,0.48,0.565721,7949.44
0.71,0.32,1.14709,666.925
0.77,0.7,2.08368,27959
0.58,0.82,4.25857,31624.4
0.65,0.08,1.00176,29.8543
0.9,0.12,0.95773,1162.94
0.83,0.84,2.68225,32159.7
0.71,0.3,1.06715,213.07
0.96,0.46,0.629485,4168.09
0.77,0.68,2.20905,24086.8
0.52,0.5,1.16781,82.1881
0.65,0.06,0.997066,29.473
0.58,0.8,3.26456,12129.2
0.9,0.1,1.01809,2414.81
0.83,0.82,2.20894,27206.1
0.71,0.28,1.1004,244.495
0.96,0.44,0.64867,7410.7
0.77,0.66,1.59572,5665.22
0.52,0.48,1.17878,78.1711
0.65,0.04,1.00046,24.2271
0.58,0.78,2.64275,7286.56
0.9,0.08,0.901079,822.071
0.83,0.8,1.53039,19474.1
0.96,0.42,0.725798,4931.03
0.71,0.26,1.06155,224.986
0.52,0.46,1.14153,72.6274
0.77,0.64,1.82373,26056.5
0.9,0.06,1.39059,22175.8
0.65,0.02,0.999513,19.1641
0.58,0.76,2.63288,11257.1
0.71,0.24,1.06631,304.598
0.96,0.4,0.84086,3542.15
0.83,0.78,1.36524,3949.49
0.52,0.44,1.12997,62.0282
0.77,0.62,1.64049,24692.5
0.65,0,0.990064,16.4918
0.58,0.74,2.21418,4143.14
0.9,0.04,0.944049,714.275
0.96,0.38,0.548857,2381.55
0.77,0.6,1.60602,3905.34
0.83,0.76,3.41194,115081
0.71,0.22,1.04472,231.152
0.52,0.42,1.10537,71.6667
0.64,0.98,646.704,1.72139e+07
0.58,0.72,2.02189,2843.59
0.9,0.02,0.986763,2135.81
0.77,0.58,1.54315,9574.51
0.96,0.36,0.905004,11958.4
0.83,0.74,1.35642,10151.2
0.71,0.2,1.04154,219.493
0.52,0.4,1.09218,60.1535
0.64,0.96,79.8808,2.14446e+06
0.77,0.56,1.71526,11427.5
0.96,0.34,0.711294,3376.79
0.9,0,0.949093,1856.59
0.58,0.7,1.81115,3737.35
0.83,0.72,2.72817,74447.4
0.64,0.94,21.0882,223169
0.77,0.54,1.66366,10601.2
0.71,0.18,1.02803,97.2706
0.96,0.32,8.07503,467036
0.89,0.98,8.18502,374445
0.52,0.38,1.08931,45.3287
0.58,0.68,1.67593,1369.75
0.83,0.7,1.60448,6305.79
0.77,0.52,1.55075,8461.09
0.64,0.92,39.9516,1.3728e+06
0.71,0.16,1.00771,137.288
0.96,0.3,1.00613,22388.6
0.89,0.96,5.8187,147591
0.52,0.36,1.07212,29.8119
0.58,0.66,1.69826,2247.59
0.83,0.68,1.18264,6424.25
0.64,0.9,10.0037,117974
0.71,0.14,1.01133,136.562
0.96,0.28,0.831667,2994.22
0.77,0.5,1.33669,4022.89
0.89,0.94,13.5701,421511
0.52,0.34,1.05887,25.3027
0.96,0.26,0.672117,4547.47
0.71,0.12,0.99877,62.9286
0.58,0.64,1.49612,968.23
0.64,0.88,11.1927,289592
0.77,0.48,1.26091,1430.92
0.83,0.66,1.84374,19330.2
0.89,0.92,4.65365,215980
0.52,0.32,1.04931,30.2978
0.71,0.1,1.00367,63.9329
0.64,0.86,8.07331,153560
0.58,0.62,1.46686,704.879
0.77,0.46,1.44171,4208.3
0.96,0.24,0.790684,4041.83
0.52,0.3,1.04054,18.8821
0.89,0.9,1.74885,15770.7
0.83,0.64,1.87787,33227.2
0.58,0.6,1.43635,642.702
0.71,0.08,1.00419,77.8422
0.64,0.84,3.77012,10827.6
0.77,0.44,1.21668,1949.5
0.96,0.22,0.863716,3468.55
0.52,0.28,1.04367,19.712
0.89,0.88,4.48688,229305
0.83,0.62,1.2233,6436.62
0.58,0.58,1.3758,871.096
0.71,0.06,1.00355,76.3532
0.64,0.82,3.07138,8176.97
0.77,0.42,1.09986,1750.93
0.96,0.2,0.756083,2526.37
0.52,0.26,1.02683,17.5143
0.89,0.86,8.43715,391547
0.83,0.6,1.67332,12042.8
0.58,0.56,1.32074,423.743
0.77,0.4,1.24309,2777.59
0.96,0.18,0.671151,2019.73
0.64,0.8,2.54104,12499.3
0.71,0.04,1.00211,57.3153
0.52,0.24,1.02231,16.5012
0.83,0.58,2.23792,57006
0.89,0.84,0.99254,9841.54
0.58,0.54,1.26151,493.482
0.77,0.38,1.20723,1277.17
0.96,0.16,0.855791,2384.01
0.64,0.78,2.29258,5197.89
0.71,0.02,0.991379,51.904
0.52,0.22,1.02471,11.1828
0.83,0.56,1.19017,2699.17
0.58,0.52,1.24955,262.78
0.96,0.14,0.932845,2707.04
0.89,0.82,1.33028,20230.2
0.77,0.36,1.20022,2486.71
0.71,0,0.98711,37.5009
0.64,0.76,2.47717,8067.49
0.52,0.2,1.01709,7.6482
0.83,0.54,1.43109,3462.67
0.58,0.5,1.19213,195.96
0.96,0.12,1.00495,11575.4
0.77,0.34,1.13207,692.663
0.7,0.98,101.807,1.72305e+06
0.89,0.8,1.86708,32767.1
0.64,0.74,2.21251,5139.1
