delta,epsilon,avg,max_surprise
0.74,0.54,1.40889,2697.25
0.55,0.72,1.85061,856.321
0.61,0.98,335.649,3.76724e+06
0.93,0.3,1.15246,11139.6
0.8,0.76,3.0993,40695.3
0.87,0,0.94622,506.135
0.68,0.24,1.05835,164.757
0.99,0.58,0.252049,4829.59
0.74,0.52,1.3747,1817.97
0.55,0.7,1.9567,5422.73
0.93,0.28,0.766386,2062.11
0.61,0.96,237.634,1.01928e+07
0.99,0.56,5.0801,281763
0.86,0.98,20.3251,529892
0.68,0.22,1.05029,139.537
0.74,0.5,1.24655,2798.34
0.8,0.74,3.15323,118804
0.93,0.26,1.13798,7746.04
0.55,0.68,1.66983,840.414
0.61,0.94,22.5197,358313
0.99,0.54,0.999762,48129.9
0.86,0.96,3.7391,49164.9
0.68,0.2,1.04149,113.071
0.74,0.48,1.25674,2243.31
0.93,0.24,1.70093,35836.3
0.8,0.72,1.3149,7080.85
0.55,0.66,1.54142,1175.63
0.68,0.18,1.01941,83.1229
0.86,0.94,5.58085,174695
0.74,0.46,1.22615,936.526
0.99,0.52,4.30827,257275
0.61,0.92,11.7525,135186
0.93,0.22,1.14715,8173.41
0.8,0.7,2.30628,65617.3
0.55,0.64,1.47986,926.262
0.68,0.16,1.03427,92.6077
0.99,0.5,0.318361,4316.15
0.61,0.9,8.98197,62772.4
0.86,0.92,1.82339,18149.9
0.8,0.68,2.07546,18435.9
0.74,0.44,1.21125,1652.45
0.55,0.62,1.49678,1160.51
0.93,0.2,0.924255,4723.64
0.68,0.14,1.02418,110.126
0.99,0.48,0.268744,5086.32
0.61,0.88,7.74068,133969
0.8,0.66,1.35425,4303.07
0.74,0.42,1.1715,1383.84
0.55,0.6,1.41136,1041.57
0.86,0.9,2.44557,40256.1
0.93,0.18,0.889534,1802.9
0.99,0.46,0.283871,5631.85
0.68,0.12,1.01305,145.985
0.8,0.64,1.59486,9755.82
0.61,0.86,6.09103,79507.1
0.55,0.58,1.3225,454.351
0.74,0.4,1.20893,1251.32
0.86,0.88,46.8503,2.4444e+06
0.99,0.44,0.202913,960.927
0.8,0.62,1.49992,8370.52
0.68,0.1,1.01149,48.9668
0.61,0.84,6.40276,99231.1
0.93,0.16,0.884583,1430.59
0.55,0.56,1.28533,229.939
0.74,0.38,1.16916,1144.15
0.86,0.86,1.78878,20942.9
0.8,0.6,1.72582,20790.1
0.99,0.42,0.411856,4476.6
0.55,0.54,1.25812,483.967
0.74,0.36,1.16791,996.9
0.61,0.82,6.68596,82516.7
0.68,0.08,0.998184,50.7692
0.93,0.14,1.01402,1675.74
0.8,0.58,1.26591,10687.7
0.86,0.84,2.94381,99651.4
0.74,0.34,1.10072,813.331
0.99,0.4,0.356586,4246.08
0.61,0.8,2.79177,8410.76
0.55,0.52,1.23531,366.449
0.68,0.06,1.01109,28.4571
0.93,0.12,0.918811,1580.19
0.8,0.56,1.62864,6109.75
0.86,0.82,1.40259,15185.4
0.99,0.38,0.421082,4014.71
0.74,0.32,1.07056,242.806
0.55,0.5,1.20001,194.048
0.68,0.04,0.998526,32.1463
0.93,0.1,0.825522,1310.55
0.61,0.78,2.83581,5073.81
0.8,0.54,1.21804,4486.98
0.86,0.8,2.62229,22973.7
0.99,0.36,0.258325,906.815
0.68,0.02,0.995107,24.295
0.55,0.48,1.18005,100.362
0.93,0.08,1.0273,2943.9
0.74,0.3,1.10849,758.201
0.61,0.76,2.57506,9488.91
0.8,0.52,1.39502,3785.45
0.86,0.78,2.39753,41075.7
0.68,0,0.988983,23.9024
0.93,0.06,10.0015,589802
0.74,0.28,1.08431,266.857
0.99,0.34,0.502635,5326.99
0.55,0.46,1.14504,250.408
0.61,0.74,2.05257,2734.52
0.8,0.5,1.34431,8851.29
0.86,0.76,1.73014,36985.5
0.93,0.04,0.973171,1051.58
0.99,0.32,0.47843,5679.99
0.55,0.44,1.13415,230.569
0.67,0.98,708.851,3.674e+07
0.61,0.72,2.15356,4723.79
0.74,0.26,1.10393,638.737
0.8,0.48,1.21472,2027.9
0.93,0.02,1.11597,12183.6
0.86,0.74,2.4912,51873.3
0.99,0.3,0.446195,2984.4
0.55,0.42,1.12659,181.196
0.74,0.24,1.09305,1247.91
0.67,0.96,59.5128,1.534e+06
0.61,0.7,1.91065,3063.63
0.8,0.46,1.29446,10530.6
0.93,0,1.00577,7799.36
0.55,0.4,1.11066,61.0595
0.74,0.22,1.04329,273.167
0.67,0.94,32.4729,1.22125e+06
0.99,0.28,0.372922,3931.06
0.86,0.72,2.01405,23884
0.8,0.44,1.18903,2134.58
0.61,0.68,1.79533,5219.84
0.55,0.38,1.09509,108.568
0.74,0.2,1.03911,410.702
0.92,0.98,2.96734,149783
0.67,0.92,16.531,283867
0.86,0.7,1.11025,4769.62
0.8,0.42,1.52953,17988.7
0.99,0.26,0.65495,20380.8
0.55,0.36,1.07512,67.5591
0.74,0.18,1.02199,337.976
0.61,0.66,1.82611,2195.79
0.67,0.9,15.2072,237389
0.92,0.96,9.23454,398283
0.86,0.68,2.098,28464.3
0.8,0.4,1.33015,4088.88
0.99,0.24,0.421718,4588.92
0.74,0.16,1.03558,162.71
0.55,0.34,1.0713,91.5267
0.61,0.64,1.51888,1523.02
0.67,0.88,4.14032,18318.7
0.92,0.94,1.7755,58200.1
0.99,0.22,0.370161,2470.95
0.86,0.66,1.94799,58177.1
0.8,0.38,1.29133,4489.43
0.55,0.32,1.06269,50.7031
0.74,0.14,1.00031,256.998
0.61,0.62,1.5093,1270.42
0.86,0.64,1.58602,14557.2
0.92,0.92,8.42836,361460
0.8,0.36,1.18925,4307.04
0.99,0.2,0.328528,802.258
0.67,0.86,4.55835,34461.6
0.74,0.12,1.02847,112.895
0.55,0.3,1.04878,26.4464
0.86,0.62,2.46282,70908.1
0.92,0.9,4.37685,245650
0.74,0.1,1.00212,109.903
0.8,0.34,1.14497,1078.75
0.67,0.84,6.29412,169168
0.61,0.6,1.43951,951.937
0.99,0.18,0.687026,14269.2
0.55,0.28,1.0351,30.8513
0.86,0.6,1.2681,11847.1
0.92,0.88,2.54873,46968.8
0.74,0.08,1.01588,149.19
0.8,0.32,1.12549,989.149
0.67,0.82,3.57209,14141.1
0.61,0.58,1.40444,2980.14
0.55,0.26,1.0435,20.1698
0.99,0.16,0.653269,17349.4
0.86,0.58,1.18135,7561.45
0.74,0.06,1.00951,118.728
0.92,0.86,1.59041,34236.4
0.8,0.3,1.14109,3245.15
0.99,0.14,0.709788,17717.2
0.67,0.8,2.77301,9427.37
0.55,0.24,1.03511,28.6433
0.61,0.56,1.34477,564.523
0.74,0.04,0.985531,72.3083
0.92,0.84,0.866005,14717
0.86,0.56,1.26504,7577.42
0.8,0.28,1.08031,1741.47
0.99,0.12,0.644982,15744.7
0.67,0.78,3.53388,43052.1
0.55,0.22,1.02535,14.1749
0.61,0.54,1.30793,1009.96
0.74,0.02,0.982228,116.346
0.92,0.82,2.1029,26421.8
0.8,0.26,1.13117,1287.28
0.86,0.54,1.2551,6909.76
0.99,0.1,0.949768,20787.4
0.67,0.76,2.24315,5732.19
0.55,0.2,1.01992,15.6737
0.61,0.52,1.24029,728.193
0.74,0,0.999951,90.1119
0.8,0.24,1.02992,517.767
0.92,0.8,1.10664,20976
0.86,0.52,1.37443,9220.88
0.99,0.08,0.745511,17479.5
0.67,0.74,2.36871,10080.9
0.55,0.18,1.01875,12.0952
0.61,0.5,1.22556,361.734
0.73,0.98,143.201,2.81154e+06
0.99,0.06,0.527178,2214.23
0.8,0.22,1.03308,461.85
0.92,0.78,1.13601,15863.1
0.86,0.5,1.04666,3945.64
0.55,0.16,1.01249,11.439
0.67,0.72,2.09172,6639.32
0.61,0.48,1.22029,550.027
0.73,0.96,58.119,1.43471e+06
0.8,0.2,1.05518,480.283
0.86,0.48,1.63391,22300
0.99,0.04,0.605631,3417.62
0.55,0.14,1.01129,8.17437
0.92,0.76,0.644528,9121.61
0.67,0.7,2.25637,30876.5
0.8,0.18,1.03116,987.237
0.73,0.94,14.2504,233836
0.61,0.46,1.20734,240.587
0.86,0.46,1.39223,5042.64
0.55,0.12,1.00905,6.5954
0.99,0.02,0.563365,4300.1
0.92,0.74,2.34874,104454
0.8,0.16,0.99755,753.455
0.61,0.44,1.15587,200.834
0.73,0.92,16.7143,599438
0.67,0.68,1.79407,9255.92
0.86,0.44,1.2325,4034.78
0.55,0.1,1.0046,6.50918
0.99,0,1.47756,54970.7
0.92,0.72,1.52777,13049.4
0.8,0.14,1.02035,322.64
0.61,0.42,1.16457,262.431
0.67,0.66,1.83893,6983.81
0.55,0.08,1.00178,5.13111
0.86,0.42,1.28445,10856.7
0.73,0.9,12.9477,360469
0.92,0.7,0.917868,10185.8
0.98,0.98,0.0725655,1948.3
0.61,0.4,1.12479,138.86
0.8,0.12,1.03788,454.661
0.55,0.06,1.00179,4.58342
0.73,0.88,9.58182,218222
0.92,0.68,1.10242,9108.11
0.61,0.38,1.12867,134.665
0.8,0.1,1.02216,400.676
0.86,0.4,1.15011,4085.55
0.67,0.64,1.57837,2278.5
0.98,0.96,0.657405,40013.5
0.55,0.04,1.00027,3.72052
0.73,0.86,6.69125,120431
0.92,0.66,1.02133,7604.42
0.61,0.36,1.10537,149.407
0.86,0.38,1.3093,10273
0.8,0.08,1.0262,503.006
0.67,0.62,1.52772,2121.3
0.98,0.94,0.0399093,622.475
0.55,0.02,1.00236,3.1196
0.73,0.84,3.0181,8694.46
0.61,0.34,1.09313,116.594
0.92,0.64,1.29393,31329
0.8,0.06,1.00793,382.479
0.67,0.6,1.4391,1972
0.86,0.36,1.16894,2734.42
0.98,0.92,0.346678,16842.1
0.55,0,0.999021,2.69511
0.61,0.32,1.08411,139.672
0.73,0.82,5.20947,147544
0.86,0.34,1.10983,2863.27
0.8,0.04,1.00249,284.183
0.67,0.58,1.38118,1196.59
0.92,0.62,1.10833,6672.31
0.98,0.9,0.524749,17199.3
0.54,0.98,934.993,3.92376e+07
0.61,0.3,1.06502,66.5668
0.73,0.8,2.90782,13478.6
0.86,0.32,1.13613,2359.01
0.92,0.6,0.842249,4927.58
0.8,0.02,0.982708,356.299
0.67,0.56,1.41304,2389.58
0.61,0.28,1.05752,81.4478
0.98,0.88,0.249359,13487.7
0.54,0.96,62.694,315202
0.86,0.3,1.0294,2136.95
0.73,0.78,2.10766,10451.9
0.92,0.58,1.22995,24711.8
0.8,0,0.982218,253.32
0.67,0.54,1.33334,1156.15
0.61,0.26,1.05067,59.4306
0.86,0.28,1.14512,5587.17
0.92,0.56,1.17902,23077.5
0.54,0.94,20.9877,92878.7
0.73,0.76,4.50406,57954
0.98,0.86,0.294079,13876.8
0.67,0.52,1.33517,1483.09
0.79,0.98,45.811,732018
0.86,0.26,1.11247,1719.7
0.61,0.24,1.05493,55.5608
0.92,0.54,1.61026,26608.7
0.54,0.92,14.7212,191450
0.73,0.74,2.1103,16830
0.98,0.84,0.117783,732.199
0.67,0.5,1.31193,1025.84
0.79,0.96,508.064,3.06586e+07
0.86,0.24,1.06631,1551.82
0.61,0.22,1.03444,42.1465
0.92,0.52,1.54178,19069.5
0.73,0.72,1.86062,4831.17
0.54,0.9,11.9876,170608
0.98,0.82,0.139364,1339.58
0.67,0.48,1.1967,512.952
0.86,0.22,1.0321,2017.68
0.79,0.94,17.2423,432893
0.92,0.5,0.779611,2948.44
0.73,0.7,1.63517,3160.4
0.98,0.8,0.388889,10065.1
0.86,0.2,1.10352,2959.23
0.54,0.88,7.29541,35934.8
0.61,0.2,1.0265,37.2346
0.67,0.46,1.21666,768.133
0.92,0.48,1.28722,16373.4
0.73,0.68,1.88347,6534.87
0.79,0.92,17.8087,744810
0.86,0.18,0.967275,1079.31
0.54,0.86,4.90347,42684.4
0.98,0.78,0.522476,18817.7
0.61,0.18,1.02417,28.5499
0.67,0.44,1.24412,1000.17
0.92,0.46,1.89352,18928.3
0.73,0.66,1.70281,6441.96
0.79,0.9,31.3287,1.8389e+06
0.86,0.16,1.03115,2290.52
0.54,0.84,3.67025,12587.4
0.98,0.76,0.67347,18197.4
0.61,0.16,1.02004,30.4843
0.67,0.42,1.14394,360.291
0.92,0.44,1.07883,13444.2
0.73,0.64,1.47996,4097.11
0.79,0.88,3.44033,19521.2
0.86,0.14,1.04334,4847.69
0.54,0.82,3.06784,16149.1
0.98,0.74,0.240442,8444.56
0.61,0.14,1.02047,30.439
0.67,0.4,1.15239,2086.11
0.92,0.42,0.956482,11785.9
0.73,0.62,1.67982,9460.47
0.86,0.12,1.05524,1908.89
0.54,0.8,3.14833,11385.8
0.61,0.12,1.00883,24.9574
0.67,0.38,1.18315,4604.24
0.79,0.86,4.56405,58490.6
0.98,0.72,0.28766,6960.56
0.92,0.4,0.941051,9050.23
0.86,0.1,1.02598,1914.1
0.73,0.6,1.49883,7189.78
0.54,0.78,2.5688,3612.05
0.61,0.1,1.00648,15.5873
0.67,0.36,1.11801,572.986
0.79,0.84,2.80506,32615.4
0.98,0.7,0.388694,9458.1
0.92,0.38,1.74422,41566.1
0.86,0.08,0.979344,614.076
0.73,0.58,1.42184,1981.86
0.54,0.76,2.18153,5040.79
0.61,0.08,1.00464,14.1315
0.67,0.34,1.08683,257.875
0.98,0.68,0.241958,7200.66
0.79,0.82,3.58354,82804.3
0.86,0.06,1.03449,1347.67
0.92,0.36,0.912765,9352.84
0.73,0.56,1.45802,2244.23
0.61,0.06,0.998275,11.8942
0.67,0.32,1.10502,312.672
0.54,0.74,2.11576,7398.1
0.98,0.66,0.135828,755.41
0.92,0.34,0.899549,1894.05
0.73,0.54,1.28447,978.938
0.61,0.04,1.00154,9.98149
0.86,0.04,1.07348,5126.8
0.79,0.8,5.40105,212645
0.54,0.72,1.81912,762.85
0.67,0.3,1.06689,266.886
0.92,0.32,1.09971,6962.98
0.98,0.64,0.420752,7632.41
0.73,0.52,1.3564,1694.22
0.61,0.02,0.999003,8.77212
0.79,0.78,1.8511,5075.91
0.54,0.7,1.75278,5514.64
0.86,0.02,0.977305,1651.08
0.67,0.28,1.07006,114.363
0.92,0.3,1.43789,7610.68
0.98,0.62,0.381538,6296.93
0.73,0.5,1.29443,1516.08
0.61,0,0.993859,7.1276
0.54,0.68,1.58453,733.914
0.86,0,0.964865,983.67
0.79,0.76,3.43418,40247.4
0.67,0.26,1.07013,178.55
0.98,0.6,0.498911,7528.78
0.92,0.28,1.24073,20065.2
0.73,0.48,1.21322,783.876
0.6,0.98,579.727,8.04259e+06
0.85,0.98,20.0786,734367
0.67,0.24,1.07271,91.5815
0.54,0.66,1.60547,1007.7
0.79,0.74,1.69471,10470.5
0.98,0.58,0.260436,4778.64
0.92,0.26,1.40839,24723.2
0.73,0.46,1.34902,3555.75
0.6,0.96,47.1238,387144
0.67,0.22,1.04872,224.105
0.54,0.64,1.46577,513.813
0.85,0.96,37.9651,1.15744e+06
0.79,0.72,2.38897,26792.9
0.92,0.24,0.865328,1307.43
0.73,0.44,1.20343,771.259
0.6,0.94,1587.89,9.709e+07
0.98,0.56,0.4161,10132.6
0.67,0.2,1.04769,79.2648
0.54,0.62,1.42217,368.363
0.79,0.7,3.64951,108170
0.85,0.94,10.7754,525297
0.92,0.22,1.60586,16566.9
0.73,0.42,1.21989,2405.12
0.6,0.92,19.2274,540733
0.98,0.54,0.370884,4422.19
0.67,0.18,1.03826,68.7451
0.79,0.68,1.53557,7123.5
0.54,0.6,1.37321,496.864
0.92,0.2,0.937535,3094.1
0.85,0.92,2.50694,47681.5
0.73,0.4,1.1678,1242.28
0.6,0.9,9.60099,49506.5
0.98,0.52,0.841389,32797.1
0.79,0.66,2.34694,20452.8
0.92,0.18,1.00445,4259.92
0.85,0.9,46.167,2.73422e+06
0.73,0.38,1.10991,526.636
